Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
06.12.2024,7426.88,"7.334,27","7.444,72","7.334,14","72,20M","1,31%"
05.12.2024,7330.54,"7.282,72","7.351,00","7.282,72","82,65M","0,37%"
04.12.2024,7303.28,"7.261,72","7.322,86","7.257,43","73,10M","0,66%"
03.12.2024,7255.42,"7.244,74","7.319,87","7.228,92","73,18M","0,26%"
02.12.2024,7236.89,"7.147,37","7.275,97","7.146,02","98,82M","0,02%"
29.11.2024,7235.11,"7.151,30","7.241,07","7.147,74","66,53M","0,78%"
28.11.2024,7179.25,"7.170,91","7.207,07","7.161,72","56,38M","0,51%"
27.11.2024,7143.03,"7.150,02","7.156,42","7.091,15","77,02M","-0,72%"
26.11.2024,7194.51,"7.201,65","7.256,78","7.185,49","68,77M","-0,87%"
25.11.2024,7257.47,"7.329,48","7.333,23","7.239,38","122,96M","0,03%"
22.11.2024,7255.01,"7.250,64","7.271,06","7.156,23","71,96M","0,58%"
21.11.2024,7213.32,"7.185,20","7.223,60","7.131,21","53,38M","0,21%"
20.11.2024,7198.45,"7.272,73","7.280,39","7.188,42","55,75M","-0,43%"
19.11.2024,7229.64,"7.287,46","7.301,19","7.134,83","64,62M","-0,67%"
18.11.2024,7278.23,"7.274,40","7.289,78","7.234,59","50,15M","0,12%"
15.11.2024,7269.63,"7.256,58","7.319,53","7.236,48","66,90M","-0,58%"
14.11.2024,7311.8,"7.247,92","7.319,09","7.220,05","71,04M","1,32%"
13.11.2024,7216.83,"7.217,49","7.256,47","7.158,25","62,93M","-0,14%"
12.11.2024,7226.98,"7.346,72","7.365,28","7.217,78","78,45M","-2,69%"
11.11.2024,7426.88,"7.395,09","7.452,60","7.387,52","56,32M","1,20%"
08.11.2024,7338.67,"7.440,12","7.440,95","7.330,21","67,22M","-1,17%"
07.11.2024,7425.6,"7.373,19","7.450,00","7.354,28","86,93M","0,76%"
06.11.2024,7369.61,"7.444,37","7.572,14","7.338,35","108,20M","-0,51%"
05.11.2024,7407.15,"7.377,58","7.414,82","7.350,00","47,13M","0,48%"
04.11.2024,7371.71,"7.386,32","7.445,96","7.371,71","45,72M","-0,50%"
01.11.2024,7409.11,"7.364,08","7.434,26","7.358,20","56,97M","0,80%"
31.10.2024,7350.37,"7.384,10","7.393,25","7.315,97","103,05M","-1,05%"
30.10.2024,7428.36,"7.452,10","7.470,69","7.377,39","69,88M","-1,10%"
29.10.2024,7511.11,"7.593,86","7.618,32","7.506,52","55,43M","-0,61%"
28.10.2024,7556.94,"7.542,13","7.580,68","7.494,93","53,21M","0,79%"
25.10.2024,7497.54,"7.489,87","7.518,75","7.459,41","50,45M","-0,08%"
24.10.2024,7503.28,"7.527,64","7.565,39","7.503,02","63,32M","0,08%"
23.10.2024,7497.48,"7.493,25","7.544,70","7.468,58","51,67M","-0,50%"
22.10.2024,7535.1,"7.517,03","7.545,36","7.472,16","50,56M","-0,01%"
21.10.2024,7536.23,"7.579,08","7.620,46","7.529,68","47,26M","-1,01%"
18.10.2024,7613.05,"7.566,87","7.644,05","7.566,87","62,95M","0,39%"
17.10.2024,7583.73,"7.510,13","7.624,22","7.507,95","60,45M","1,22%"
16.10.2024,7492,"7.420,85","7.511,10","7.420,85","64,50M","-0,40%"
15.10.2024,7521.97,"7.595,06","7.601,53","7.511,24","73,15M","-1,05%"
14.10.2024,7602.06,"7.583,48","7.613,15","7.544,54","43,69M","0,32%"
11.10.2024,7577.89,"7.530,88","7.587,52","7.504,04","52,95M","0,48%"
10.10.2024,7541.59,"7.543,40","7.563,36","7.515,90","47,65M","-0,24%"
09.10.2024,7560.09,"7.527,03","7.567,58","7.504,63","50,00M","0,52%"
08.10.2024,7521.32,"7.480,36","7.542,05","7.475,78","54,05M","-0,72%"
07.10.2024,7576.02,"7.571,97","7.585,33","7.509,87","54,78M","0,46%"
