Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
06.12.2024,20384.61,"20.374,54","20.425,86","20.331,24","61,61M","0,13%"
05.12.2024,20358.8,"20.218,29","20.373,43","20.216,33","58,27M","0,63%"
04.12.2024,20232.14,"20.103,89","20.260,61","20.085,31","63,42M","1,08%"
03.12.2024,20016.75,"19.947,18","20.038,01","19.926,26","63,23M","0,42%"
02.12.2024,19933.62,"19.586,17","19.933,62","19.568,50","63,21M","1,57%"
29.11.2024,19626.45,"19.400,38","19.640,15","19.380,21","52,16M","1,03%"
28.11.2024,19425.73,"19.366,72","19.437,57","19.346,59","42,53M","0,85%"
27.11.2024,19261.75,"19.257,77","19.287,04","19.145,01","51,79M","-0,18%"
26.11.2024,19295.98,"19.309,16","19.385,35","19.239,37","60,76M","-0,56%"
25.11.2024,19405.2,"19.462,24","19.468,30","19.329,88","121,85M","0,43%"
22.11.2024,19322.59,"19.240,23","19.338,10","19.036,41","71,16M","0,92%"
21.11.2024,19146.17,"19.060,92","19.152,61","18.900,02","55,65M","0,74%"
20.11.2024,19004.78,"19.153,03","19.198,74","18.962,19","53,80M","-0,29%"
19.11.2024,19060.31,"19.175,84","19.211,80","18.812,53","62,32M","-0,67%"
18.11.2024,19189.19,"19.249,26","19.279,16","19.091,90","51,55M","-0,11%"
15.11.2024,19210.81,"19.135,64","19.288,89","19.121,14","67,44M","-0,27%"
14.11.2024,19263.7,"19.072,19","19.307,57","19.060,44","77,86M","1,37%"
13.11.2024,19003.11,"19.024,28","19.125,69","18.838,68","92,68M","-0,16%"
12.11.2024,19033.64,"19.260,58","19.339,82","19.019,67","92,93M","-2,13%"
11.11.2024,19448.6,"19.386,70","19.546,90","19.382,48","59,02M","1,21%"
08.11.2024,19215.48,"19.411,59","19.411,60","19.146,53","69,79M","-0,76%"
07.11.2024,19362.52,"19.157,22","19.437,88","19.148,79","83,27M","1,70%"
06.11.2024,19039.31,"19.360,75","19.563,97","19.007,88","112,73M","-1,13%"
05.11.2024,19256.27,"19.170,15","19.263,14","19.104,59","47,18M","0,57%"
04.11.2024,19147.85,"19.231,86","19.286,04","19.147,76","43,11M","-0,56%"
01.11.2024,19254.97,"19.093,99","19.297,64","19.082,10","45,76M","0,93%"
31.10.2024,19077.54,"19.096,68","19.184,31","19.004,97","63,37M","-0,93%"
30.10.2024,19257.34,"19.403,43","19.420,94","19.201,24","59,54M","-1,13%"
29.10.2024,19478.07,"19.634,33","19.643,12","19.465,00","46,98M","-0,27%"
28.10.2024,19531.62,"19.528,67","19.570,92","19.399,16","46,67M","0,35%"
25.10.2024,19463.59,"19.419,52","19.516,24","19.388,91","46,01M","0,11%"
24.10.2024,19443,"19.417,73","19.555,45","19.417,73","55,47M","0,34%"
23.10.2024,19377.62,"19.399,33","19.464,54","19.330,11","52,26M","-0,23%"
