Date,Close,Open,High,Low,Vol.,Change %
12/06/2024,19859.77,19743.96,19863.14,19734.42,1.23B,0.81%
12/05/2024,19700.72,19756.4,19790.03,19688.59,1.27B,-0.17%
12/04/2024,19735.12,19587.48,19741.76,19575.39,1.27B,1.30%
12/03/2024,19480.91,19364.34,19486.14,19340.41,1.13B,0.40%
12/02/2024,19403.95,19255.43,19436.92,19255.43,1.25B,0.97%
11/29/2024,19218.17,19087.47,19245.49,19066.52,797.08M,0.83%
11/27/2024,19060.48,19132.99,19133.11,18937.2,1.03B,-0.60%
11/26/2024,19175.58,19109.08,19184.4,19100.73,1.12B,0.63%
11/25/2024,19054.84,19140.59,19208.68,18969.35,1.91B,0.27%
11/22/2024,19003.65,18966.32,19025.77,18899.48,1.19B,0.16%
11/21/2024,18972.42,19072.78,19110.89,18714.06,1.26B,0.03%
11/20/2024,18966.14,18971.31,18974.91,18724.39,1.13B,-0.11%
11/19/2024,18987.47,18699.71,18992.08,18689.83,1.15B,1.04%
11/18/2024,18791.81,18717.93,18865.28,18672.3,1.24B,0.60%
11/15/2024,18680.12,18929.92,18936.75,18598.87,1.37B,-2.24%
11/14/2024,19107.65,19256.09,19275.8,19073.39,1.28B,-0.64%
11/13/2024,19230.72,19286.46,19358.48,19191.13,1.39B,-0.26%
11/12/2024,19281.4,19289.81,19343.05,19168.52,1.32B,-0.09%
11/11/2024,19298.76,19355.34,19366.07,19193.29,1.33B,0.06%
11/08/2024,19286.78,19255.14,19318.56,19224.43,1.31B,0.09%
11/07/2024,19269.46,19084.43,19301.7,19084.43,1.43B,1.51%
11/06/2024,18983.46,18772.76,19000.5,18730.21,1.64B,2.95%
11/05/2024,18439.17,18250.71,18449.68,18250.71,1.07B,1.43%
11/04/2024,18179.98,18220.43,18308.3,18112.83,1.04B,-0.33%
11/01/2024,18239.92,18189.67,18363.94,18181.53,1.05B,0.80%
10/31/2024,18095.15,18427.31,18427.31,18083.95,1.31B,-2.76%
10/30/2024,18607.93,18731.69,18785.49,18598.24,1.16B,-0.56%
10/29/2024,18712.75,18576.09,18753.19,18509.59,1.12B,0.78%
10/28/2024,18567.19,18648.25,18671.01,18563.02,1.03B,0.26%
10/25/2024,18518.61,18512.58,18690.01,18487.06,976.29M,0.56%
