Date,Open,High,Low,Close,Adj. close,Volume
29-Nov-24,6003.98,6044.17,6003.98,6032.38,6032.38,2444420000
27-Nov-24,6014.11,6020.16,5984.87,5998.74,5998.74,3363340000
26-Nov-24,6000.03,6025.42,5992.27,6021.63,6021.63,3835170000
25-Nov-24,5992.28,6020.75,5963.91,5987.37,5987.37,5633150000
22-Nov-24,5944.36,5972.9,5944.36,5969.34,5969.34,4141420000
21-Nov-24,5940.58,5963.32,5887.26,5948.71,5948.71,4230120000
20-Nov-24,5914.34,5920.67,5860.56,5917.11,5917.11,3772620000
19-Nov-24,5870.05,5923.51,5855.29,5916.98,5916.98,4036940000
18-Nov-24,5874.17,5908.12,5865.95,5893.62,5893.62,3983860000
15-Nov-24,5912.79,5915.32,5853.01,5870.62,5870.62,4590960000
14-Nov-24,5989.68,5993.88,5942.28,5949.17,5949.17,4184570000
13-Nov-24,5985.75,6008.19,5965.91,5985.38,5985.38,4220180000
12-Nov-24,6003.6,6009.92,5960.08,5983.99,5983.99,4243400000
11-Nov-24,6008.86,6017.31,5986.69,6001.35,6001.35,4333000000
8-Nov-24,5976.76,6012.45,5976.76,5995.54,5995.54,4666740000
7-Nov-24,5947.21,5983.84,5947.21,5973.1,5973.1,4925740000
6-Nov-24,5864.89,5936.14,5864.89,5929.04,5929.04,6329530000
5-Nov-24,5722.43,5783.44,5722.1,5782.76,5782.76,3768310000
4-Nov-24,5725.15,5741.43,5696.51,5712.69,5712.69,3602060000
1-Nov-24,5723.22,5772.52,5723.22,5728.8,5728.8,3796450000
31-Oct-24,5775.34,5775.34,5702.86,5705.45,5705.45,4425660000
30-Oct-24,5832.65,5850.94,5811.28,5813.67,5813.67,3851120000
29-Oct-24,5819.68,5847.19,5802.17,5832.92,5832.92,3879100000
28-Oct-24,5833.93,5842.92,5823.08,5823.52,5823.52,3691280000
25-Oct-24,5826.75,5862.82,5799.98,5808.12,5808.12,3501280000
24-Oct-24,5817.8,5817.8,5784.92,5809.86,5809.86,3543030000
23-Oct-24,5834.5,5834.85,5762.41,5797.42,5797.42,3532650000
22-Oct-24,5832.7,5863.04,5821.17,5851.2,5851.2,3342080000
21-Oct-24,5857.82,5866.92,5824.79,5853.98,5853.98,3407010000
18-Oct-24,5859.43,5872.17,5846.11,5864.67,5864.67,3374490000
17-Oct-24,5875.62,5878.46,5840.25,5841.47,5841.47,3480010000
16-Oct-24,5816.58,5846.52,5808.34,5842.47,5842.47,3467230000
15-Oct-24,5866.74,5870.36,5804.48,5815.26,5815.26,3882120000
14-Oct-24,5829.81,5871.41,5829.57,5859.85,5859.85,3005250000
11-Oct-24,5775.09,5822.13,5775.09,5815.03,5815.03,3208720000
10-Oct-24,5778.36,5795.03,5764.76,5780.05,5780.05,3208790000
9-Oct-24,5751.8,5796.8,5745.02,5792.04,5792.04,3650340000
8-Oct-24,5719.14,5757.6,5714.56,5751.13,5751.13,3393400000
7-Oct-24,5737.8,5739.34,5686.85,5695.94,5695.94,3637790000
4-Oct-24,5737.48,5753.21,5702.83,5751.07,5751.07,3479400000
3-Oct-24,5698.19,5718.78,5677.37,5699.94,5699.94,3597450000
2-Oct-24,5698.14,5719.63,5674,5709.54,5709.54,3829050000
1-Oct-24,5757.73,5757.73,5681.28,5708.75,5708.75,4025180000
30-Sep-24,5726.52,5765.14,5703.53,5762.48,5762.48,4425730000
27-Sep-24,5755.36,5763.78,5727.34,5738.17,5738.17,3898530000
26-Sep-24,5762.22,5767.37,5721.01,5745.37,5745.37,4391180000
25-Sep-24,5733.65,5741.03,5712.06,5722.26,5722.26,3624910000
24-Sep-24,5727.66,5735.32,5698.99,5732.93,5732.93,3872710000
23-Sep-24,5711.9,5725.36,5704.22,5718.57,5718.57,3529550000
20-Sep-24,5709.64,5715.14,5674.49,5702.55,5702.55,7867260000
19-Sep-24,5702.63,5733.57,5686.42,5713.64,5713.64,4024530000
18-Sep-24,5641.68,5689.75,5615.08,5618.26,5618.26,3691390000
17-Sep-24,5655.51,5670.81,5614.05,5634.58,5634.58,3443600000
16-Sep-24,5615.21,5636.05,5604.53,5633.09,5633.09,3437070000
13-Sep-24,5603.34,5636.27,5601.65,5626.02,5626.02,3500790000
12-Sep-24,5557.48,5600.71,5535.5,5595.76,5595.76,3655070000
11-Sep-24,5496.42,5560.41,5406.96,5554.13,5554.13,3839450000
10-Sep-24,5490.51,5497.91,5441.72,5495.52,5495.52,3848180000
9-Sep-24,5442.07,5484.2,5434.49,5471.05,5471.05,3825940000
6-Sep-24,5507.33,5522.47,5402.62,5408.42,5408.42,3822800000
5-Sep-24,5520.08,5546.3,5480.54,5503.41,5503.41,3521650000
4-Sep-24,5506.68,5552.99,5503.66,5520.07,5520.07,3478140000
3-Sep-24,5623.89,5623.89,5504.33,5528.93,5528.93,3866350000
30-Aug-24,5612.74,5651.37,5581.79,5648.4,5648.4,4185850000
29-Aug-24,5607.3,5646.95,5583.71,5591.96,5591.96,3065640000
28-Aug-24,5624.51,5627.03,5560.95,5592.18,5592.18,3053450000
27-Aug-24,5602.89,5631.18,5593.48,5625.8,5625.8,2798990000
26-Aug-24,5639.66,5651.62,5602.34,5616.84,5616.84,2938570000
23-Aug-24,5602.49,5641.82,5585.16,5634.61,5634.61,3291940000
22-Aug-24,5637.77,5643.22,5560.95,5570.64,5570.64,2981530000
21-Aug-24,5603.09,5632.68,5591.57,5620.85,5620.85,3119670000
20-Aug-24,5602.88,5620.51,5585.5,5597.12,5597.12,2994420000
19-Aug-24,5557.23,5608.3,5550.74,5608.25,5608.25,3222050000
16-Aug-24,5530.5,5561.98,5525.17,5554.25,5554.25,3357690000
15-Aug-24,5501.13,5546.23,5501.13,5543.22,5543.22,3723310000
14-Aug-24,5442.36,5463.22,5415.91,5455.21,5455.21,3380050000
13-Aug-24,5376.98,5436.5,5376.98,5434.43,5434.43,3648980000
12-Aug-24,5351.88,5371.2,5324.37,5344.39,5344.39,3360160000
9-Aug-24,5314.66,5358.67,5300.84,5344.16,5344.16,3516400000
8-Aug-24,5252.57,5328.03,5233.85,5319.31,5319.31,4016830000
7-Aug-24,5293.13,5330.64,5195.54,5199.5,5199.5,4558260000
6-Aug-24,5206.42,5312.34,5193.56,5240.03,5240.03,4690190000
